rank,feature,gini_importance,cumulative_importance
1,h_eva_in[kJ/kg],0.3100149088126509,0.3100149088126509
2,P_dis[bar],0.08440438813385086,0.3944192969465018
3,P_gc_out[bar],0.08258045845653325,0.4769997554030351
4,Q_heat_s1[kW],0.05286222943721199,0.529861984840247
5,T_air_in[degC],0.0505716363701391,0.5804336212103861
6,Q_heat_s2[kW],0.039870539831337835,0.6203041610417239
7,h_gc_mid[kJ/kg],0.03827956106225003,0.658583722103974
8,T_eva_out[degC],0.03524256784309402,0.693826289947068
9,T_mid[degC],0.035199637325682605,0.7290259272727506
10,W_comp[kW],0.03399914784778798,0.7630250751205386
11,P_gc_mid[bar],0.03252417196198783,0.7955492470825265
12,h_dis[kJ/kg],0.02793031001565934,0.8234795570981859
13,h_gc_out[kJ/kg],0.02358088807714905,0.847060445175335
14,P_suc[bar],0.02178558371454694,0.8688460288898819
15,T_dis[degC],0.021350433369375303,0.8901964622592572
16,T_eva_in[degC],0.01956846074536819,0.9097649230046254
17,P_eva_out[bar],0.01647159952631904,0.9262365225309445
18,T_suc[degC],0.015745002173076693,0.9419815247040212
19,T_gc_mid[degC],0.015031954555330502,0.9570134792593517
20,P_eva_in[bar],0.01158155116490391,0.9685950304242555
21,Q_heat_total[kW],0.0113056111146738,0.9799006415389293
22,h_suc[kJ/kg],0.009392075933382848,0.9892927174723122
23,T_gc_out[degC],0.00805279340786558,0.9973455108801778
24,V_air_outdoor[m/s],0.001769966926507774,0.9991154778066855
25,COP[null],0.0008845221933145518,1.0
26,m_dot[kg/s],0.0,1.0
27,V_air_indoor[kg/min],0.0,1.0
28,T_air_out[degC],0.0,1.0
29,T_amb[degC],0.0,1.0
30,h_eva_out[kJ/kg],0.0,1.0
